MakeDate,Month,Year,Housetype,Sales,Benchmark price,Open,High,Low,Close,Adj Close,Volume,Bank of Canada Target Overnight Rate,Births,Deaths,Immigrants,Emigrants,Returning emigrants,Net temporary emigration,Net interprovincial migration,Net intraprovincial migration,Net non-permanent residents
2010-06-01,6,2010,T,575,492861,11706.418235091,11779.536399227,11617.668279545,11680.172762773,11680.172762773,198242868.181818,0.5,23586,13545,36850,8906,4270,4460,3539,-1821,10467
2010-06-01,6,2010,D,1139,795025,11706.418235091,11779.536399227,11617.668279545,11680.172762773,11680.172762773,198242868.181818,0.5,23586,13545,36850,8906,4270,4460,3539,-1821,10467
2007-11-01,11,2007,A,1276,374393,13781.890846864,13855.177201727,13646.054465591,13738.572709455,13738.572709455,229905750,4.5,22530,13455,32245,9838,4252,4302,3955,-5934,6098
2007-11-01,11,2007,T,540,455332,13781.890846864,13855.177201727,13646.054465591,13738.572709455,13738.572709455,229905750,4.5,22530,13455,32245,9838,4252,4302,3955,-5934,6098
2007-11-01,11,2007,D,1067,729011,13781.890846864,13855.177201727,13646.054465591,13738.572709455,13738.572709455,229905750,4.5,22530,13455,32245,9838,4252,4302,3955,-5934,6098
2017-06-01,6,2017,A,1905,600700,15315.154474318,15371.068270545,15249.804465591,15308.822665091,15308.822665091,229315709.090909,0.5,24544,16259,28023,8595,4647,3816,5717,-13099,13544
2017-06-01,6,2017,T,668,745700,15315.154474318,15371.068270545,15249.804465591,15308.822665091,15308.822665091,229315709.090909,0.5,24544,16259,28023,8595,4647,3816,5717,-13099,13544
2017-06-01,6,2017,D,1320,1587900,15315.154474318,15371.068270545,15249.804465591,15308.822665091,15308.822665091,229315709.090909,0.5,24544,16259,28023,8595,4647,3816,5717,-13099,13544
2009-07-01,7,2009,A,1708,365291,10265.690962273,10369.300026682,10171.190917955,10292.809259682,10292.809259682,171589472.727273,0.25,23688,13492,35977,8334,3773,4312,4611,-1955,14705
2009-07-01,7,2009,T,792,452085,10265.690962273,10369.300026682,10171.190917955,10292.809259682,10292.809259682,171589472.727273,0.25,23688,13492,35977,8334,3773,4312,4611,-1955,14705
2009-07-01,7,2009,D,1614,711702,10265.690962273,10369.300026682,10171.190917955,10292.809259682,10292.809259682,171589472.727273,0.25,23688,13492,35977,8334,3773,4312,4611,-1955,14705
2019-10-01,10,2019,A,1384,652500,16418.449973455,16459.327104,16357.009010864,16403.163574318,16403.163574318,184524781.818182,1.75,23780,16132,34562,6842,4432,3924,3360,-11851,23306
2019-10-01,10,2019,T,536,771600,16418.449973455,16459.327104,16357.009010864,16403.163574318,16403.163574318,184524781.818182,1.75,23780,16132,34562,6842,4432,3924,3360,-11851,23306
2019-10-01,10,2019,D,938,1410500,16418.449973455,16459.327104,16357.009010864,16403.163574318,16403.163574318,184524781.818182,1.75,23780,16132,34562,6842,4432,3924,3360,-11851,23306
